original_path,transformed_path,label,transform,parameter
data/raw/CIFAKE/test/REAL/0892 (2).jpg,data/robustness/clean/00001.jpg,0,clean,none
data/raw/CIFAKE/test/REAL/0892 (2).jpg,data/robustness/jpeg_70/00001.jpg,0,jpeg_70,70
data/raw/CIFAKE/test/REAL/0892 (2).jpg,data/robustness/jpeg_30/00001.jpg,0,jpeg_30,30
data/raw/CIFAKE/test/REAL/0892 (2).jpg,data/robustness/blur_1.0/00001.jpg,0,blur_1.0,1.0
data/raw/CIFAKE/test/REAL/0892 (2).jpg,data/robustness/resize_0.5/00001.jpg,0,resize_0.5,0.5
data/raw/CIFAKE/test/REAL/0892 (2).jpg,data/robustness/noise_0.05/00001.jpg,0,noise_0.05,0.05
data/raw/CIFAKE/test/REAL/0892 (2).jpg,data/robustness/colour_jitter/00001.jpg,0,colour_jitter,20%
data/raw/CIFAKE/test/REAL/0892 (2).jpg,data/robustness/crop_80/00001.jpg,0,crop_80,80%
data/raw/CIFAKE/test/REAL/0250 (5).jpg,data/robustness/clean/00002.jpg,0,clean,none
data/raw/CIFAKE/test/REAL/0250 (5).jpg,data/robustness/jpeg_70/00002.jpg,0,jpeg_70,70
data/raw/CIFAKE/test/REAL/0250 (5).jpg,data/robustness/jpeg_30/00002.jpg,0,jpeg_30,30
data/raw/CIFAKE/test/REAL/0250 (5).jpg,data/robustness/blur_1.0/00002.jpg,0,blur_1.0,1.0
data/raw/CIFAKE/test/REAL/0250 (5).jpg,data/robustness/resize_0.5/00002.jpg,0,resize_0.5,0.5
data/raw/CIFAKE/test/REAL/0250 (5).jpg,data/robustness/noise_0.05/00002.jpg,0,noise_0.05,0.05
data/raw/CIFAKE/test/REAL/0250 (5).jpg,data/robustness/colour_jitter/00002.jpg,0,colour_jitter,20%
data/raw/CIFAKE/test/REAL/0250 (5).jpg,data/robustness/crop_80/00002.jpg,0,crop_80,80%
data/raw/CIFAKE/test/REAL/0071.jpg,data/robustness/clean/00003.jpg,0,clean,none
data/raw/CIFAKE/test/REAL/0071.jpg,data/robustness/jpeg_70/00003.jpg,0,jpeg_70,70
data/raw/CIFAKE/test/REAL/0071.jpg,data/robustness/jpeg_30/00003.jpg,0,jpeg_30,30
data/raw/CIFAKE/test/REAL/0071.jpg,data/robustness/blur_1.0/00003.jpg,0,blur_1.0,1.0
data/raw/CIFAKE/test/REAL/0071.jpg,data/robustness/resize_0.5/00003.jpg,0,resize_0.5,0.5
data/raw/CIFAKE/test/REAL/0071.jpg,data/robustness/noise_0.05/00003.jpg,0,noise_0.05,0.05
data/raw/CIFAKE/test/REAL/0071.jpg,data/robustness/colour_jitter/00003.jpg,0,colour_jitter,20%
data/raw/CIFAKE/test/REAL/0071.jpg,data/robustness/crop_80/00003.jpg,0,crop_80,80%
data/raw/CIFAKE/test/REAL/0657 (4).jpg,data/robustness/clean/00004.jpg,0,clean,none
data/raw/CIFAKE/test/REAL/0657 (4).jpg,data/robustness/jpeg_70/00004.jpg,0,jpeg_70,70
data/raw/CIFAKE/test/REAL/0657 (4).jpg,data/robustness/jpeg_30/00004.jpg,0,jpeg_30,30
data/raw/CIFAKE/test/REAL/0657 (4).jpg,data/robustness/blur_1.0/00004.jpg,0,blur_1.0,1.0
data/raw/CIFAKE/test/REAL/0657 (4).jpg,data/robustness/resize_0.5/00004.jpg,0,resize_0.5,0.5
data/raw/CIFAKE/test/REAL/0657 (4).jpg,data/robustness/noise_0.05/00004.jpg,0,noise_0.05,0.05
data/raw/CIFAKE/test/REAL/0657 (4).jpg,data/robustness/colour_jitter/00004.jpg,0,colour_jitter,20%
data/raw/CIFAKE/test/REAL/0657 (4).jpg,data/robustness/crop_80/00004.jpg,0,crop_80,80%
data/raw/CIFAKE/test/REAL/0905 (9).jpg,data/robustness/clean/00005.jpg,0,clean,none
data/raw/CIFAKE/test/REAL/0905 (9).jpg,data/robustness/jpeg_70/00005.jpg,0,jpeg_70,70
data/raw/CIFAKE/test/REAL/0905 (9).jpg,data/robustness/jpeg_30/00005.jpg,0,jpeg_30,30
data/raw/CIFAKE/test/REAL/0905 (9).jpg,data/robustness/blur_1.0/00005.jpg,0,blur_1.0,1.0
data/raw/CIFAKE/test/REAL/0905 (9).jpg,data/robustness/resize_0.5/00005.jpg,0,resize_0.5,0.5
data/raw/CIFAKE/test/REAL/0905 (9).jpg,data/robustness/noise_0.05/00005.jpg,0,noise_0.05,0.05
data/raw/CIFAKE/test/REAL/0905 (9).jpg,data/robustness/colour_jitter/00005.jpg,0,colour_jitter,20%
data/raw/CIFAKE/test/REAL/0905 (9).jpg,data/robustness/crop_80/00005.jpg,0,crop_80,80%
data/raw/CIFAKE/test/REAL/0474 (3).jpg,data/robustness/clean/00006.jpg,0,clean,none
data/raw/CIFAKE/test/REAL/0474 (3).jpg,data/robustness/jpeg_70/00006.jpg,0,jpeg_70,70
data/raw/CIFAKE/test/REAL/0474 (3).jpg,data/robustness/jpeg_30/00006.jpg,0,jpeg_30,30
data/raw/CIFAKE/test/REAL/0474 (3).jpg,data/robustness/blur_1.0/00006.jpg,0,blur_1.0,1.0
data/raw/CIFAKE/test/REAL/0474 (3).jpg,data/robustness/resize_0.5/00006.jpg,0,resize_0.5,0.5
data/raw/CIFAKE/test/REAL/0474 (3).jpg,data/robustness/noise_0.05/00006.jpg,0,noise_0.05,0.05
data/raw/CIFAKE/test/REAL/0474 (3).jpg,data/robustness/colour_jitter/00006.jpg,0,colour_jitter,20%
data/raw/CIFAKE/test/REAL/0474 (3).jpg,data/robustness/crop_80/00006.jpg,0,crop_80,80%
data/raw/CIFAKE/test/REAL/0954 (6).jpg,data/robustness/clean/00007.jpg,0,clean,none
data/raw/CIFAKE/test/REAL/0954 (6).jpg,data/robustness/jpeg_70/00007.jpg,0,jpeg_70,70
data/raw/CIFAKE/test/REAL/0954 (6).jpg,data/robustness/jpeg_30/00007.jpg,0,jpeg_30,30
data/raw/CIFAKE/test/REAL/0954 (6).jpg,data/robustness/blur_1.0/00007.jpg,0,blur_1.0,1.0
data/raw/CIFAKE/test/REAL/0954 (6).jpg,data/robustness/resize_0.5/00007.jpg,0,resize_0.5,0.5
data/raw/CIFAKE/test/REAL/0954 (6).jpg,data/robustness/noise_0.05/00007.jpg,0,noise_0.05,0.05
data/raw/CIFAKE/test/REAL/0954 (6).jpg,data/robustness/colour_jitter/00007.jpg,0,colour_jitter,20%
data/raw/CIFAKE/test/REAL/0954 (6).jpg,data/robustness/crop_80/00007.jpg,0,crop_80,80%
data/raw/CIFAKE/test/REAL/0328 (5).jpg,data/robustness/clean/00008.jpg,0,clean,none
data/raw/CIFAKE/test/REAL/0328 (5).jpg,data/robustness/jpeg_70/00008.jpg,0,jpeg_70,70
data/raw/CIFAKE/test/REAL/0328 (5).jpg,data/robustness/jpeg_30/00008.jpg,0,jpeg_30,30
data/raw/CIFAKE/test/REAL/0328 (5).jpg,data/robustness/blur_1.0/00008.jpg,0,blur_1.0,1.0
data/raw/CIFAKE/test/REAL/0328 (5).jpg,data/robustness/resize_0.5/00008.jpg,0,resize_0.5,0.5
data/raw/CIFAKE/test/REAL/0328 (5).jpg,data/robustness/noise_0.05/00008.jpg,0,noise_0.05,0.05
data/raw/CIFAKE/test/REAL/0328 (5).jpg,data/robustness/colour_jitter/00008.jpg,0,colour_jitter,20%
data/raw/CIFAKE/test/REAL/0328 (5).jpg,data/robustness/crop_80/00008.jpg,0,crop_80,80%
data/raw/CIFAKE/test/REAL/0295 (10).jpg,data/robustness/clean/00009.jpg,0,clean,none
data/raw/CIFAKE/test/REAL/0295 (10).jpg,data/robustness/jpeg_70/00009.jpg,0,jpeg_70,70
data/raw/CIFAKE/test/REAL/0295 (10).jpg,data/robustness/jpeg_30/00009.jpg,0,jpeg_30,30
data/raw/CIFAKE/test/REAL/0295 (10).jpg,data/robustness/blur_1.0/00009.jpg,0,blur_1.0,1.0
data/raw/CIFAKE/test/REAL/0295 (10).jpg,data/robustness/resize_0.5/00009.jpg,0,resize_0.5,0.5
data/raw/CIFAKE/test/REAL/0295 (10).jpg,data/robustness/noise_0.05/00009.jpg,0,noise_0.05,0.05
data/raw/CIFAKE/test/REAL/0295 (10).jpg,data/robustness/colour_jitter/00009.jpg,0,colour_jitter,20%
data/raw/CIFAKE/test/REAL/0295 (10).jpg,data/robustness/crop_80/00009.jpg,0,crop_80,80%
data/raw/CIFAKE/test/REAL/0073 (2).jpg,data/robustness/clean/00010.jpg,0,clean,none
data/raw/CIFAKE/test/REAL/0073 (2).jpg,data/robustness/jpeg_70/00010.jpg,0,jpeg_70,70
data/raw/CIFAKE/test/REAL/0073 (2).jpg,data/robustness/jpeg_30/00010.jpg,0,jpeg_30,30
data/raw/CIFAKE/test/REAL/0073 (2).jpg,data/robustness/blur_1.0/00010.jpg,0,blur_1.0,1.0
data/raw/CIFAKE/test/REAL/0073 (2).jpg,data/robustness/resize_0.5/00010.jpg,0,resize_0.5,0.5
data/raw/CIFAKE/test/REAL/0073 (2).jpg,data/robustness/noise_0.05/00010.jpg,0,noise_0.05,0.05
data/raw/CIFAKE/test/REAL/0073 (2).jpg,data/robustness/colour_jitter/00010.jpg,0,colour_jitter,20%
data/raw/CIFAKE/test/REAL/0073 (2).jpg,data/robustness/crop_80/00010.jpg,0,crop_80,80%
data/raw/CIFAKE/test/REAL/0717.jpg,data/robustness/clean/00011.jpg,0,clean,none
data/raw/CIFAKE/test/REAL/0717.jpg,data/robustness/jpeg_70/00011.jpg,0,jpeg_70,70
data/raw/CIFAKE/test/REAL/0717.jpg,data/robustness/jpeg_30/00011.jpg,0,jpeg_30,30
data/raw/CIFAKE/test/REAL/0717.jpg,data/robustness/blur_1.0/00011.jpg,0,blur_1.0,1.0
data/raw/CIFAKE/test/REAL/0717.jpg,data/robustness/resize_0.5/00011.jpg,0,resize_0.5,0.5
data/raw/CIFAKE/test/REAL/0717.jpg,data/robustness/noise_0.05/00011.jpg,0,noise_0.05,0.05
data/raw/CIFAKE/test/REAL/0717.jpg,data/robustness/colour_jitter/00011.jpg,0,colour_jitter,20%
data/raw/CIFAKE/test/REAL/0717.jpg,data/robustness/crop_80/00011.jpg,0,crop_80,80%
data/raw/CIFAKE/test/REAL/0915 (9).jpg,data/robustness/clean/00012.jpg,0,clean,none
data/raw/CIFAKE/test/REAL/0915 (9).jpg,data/robustness/jpeg_70/00012.jpg,0,jpeg_70,70
data/raw/CIFAKE/test/REAL/0915 (9).jpg,data/robustness/jpeg_30/00012.jpg,0,jpeg_30,30
data/raw/CIFAKE/test/REAL/0915 (9).jpg,data/robustness/blur_1.0/00012.jpg,0,blur_1.0,1.0
data/raw/CIFAKE/test/REAL/0915 (9).jpg,data/robustness/resize_0.5/00012.jpg,0,resize_0.5,0.5
data/raw/CIFAKE/test/REAL/0915 (9).jpg,data/robustness/noise_0.05/00012.jpg,0,noise_0.05,0.05
data/raw/CIFAKE/test/REAL/0915 (9).jpg,data/robustness/colour_jitter/00012.jpg,0,colour_jitter,20%
data/raw/CIFAKE/test/REAL/0915 (9).jpg,data/robustness/crop_80/00012.jpg,0,crop_80,80%
data/raw/CIFAKE/test/REAL/0703.jpg,data/robustness/clean/00013.jpg,0,clean,none
data/raw/CIFAKE/test/REAL/0703.jpg,data/robustness/jpeg_70/00013.jpg,0,jpeg_70,70
data/raw/CIFAKE/test/REAL/0703.jpg,data/robustness/jpeg_30/00013.jpg,0,jpeg_30,30
data/raw/CIFAKE/test/REAL/0703.jpg,data/robustness/blur_1.0/00013.jpg,0,blur_1.0,1.0
data/raw/CIFAKE/test/REAL/0703.jpg,data/robustness/resize_0.5/00013.jpg,0,resize_0.5,0.5
data/raw/CIFAKE/test/REAL/0703.jpg,data/robustness/noise_0.05/00013.jpg,0,noise_0.05,0.05
data/raw/CIFAKE/test/REAL/0703.jpg,data/robustness/colour_jitter/00013.jpg,0,colour_jitter,20%
data/raw/CIFAKE/test/REAL/0703.jpg,data/robustness/crop_80/00013.jpg,0,crop_80,80%
data/raw/CIFAKE/test/REAL/0647 (4).jpg,data/robustness/clean/00014.jpg,0,clean,none
data/raw/CIFAKE/test/REAL/0647 (4).jpg,data/robustness/jpeg_70/00014.jpg,0,jpeg_70,70
data/raw/CIFAKE/test/REAL/0647 (4).jpg,data/robustness/jpeg_30/00014.jpg,0,jpeg_30,30
data/raw/CIFAKE/test/REAL/0647 (4).jpg,data/robustness/blur_1.0/00014.jpg,0,blur_1.0,1.0
data/raw/CIFAKE/test/REAL/0647 (4).jpg,data/robustness/resize_0.5/00014.jpg,0,resize_0.5,0.5
data/raw/CIFAKE/test/REAL/0647 (4).jpg,data/robustness/noise_0.05/00014.jpg,0,noise_0.05,0.05
data/raw/CIFAKE/test/REAL/0647 (4).jpg,data/robustness/colour_jitter/00014.jpg,0,colour_jitter,20%
data/raw/CIFAKE/test/REAL/0647 (4).jpg,data/robustness/crop_80/00014.jpg,0,crop_80,80%
data/raw/CIFAKE/test/REAL/0882 (2).jpg,data/robustness/clean/00015.jpg,0,clean,none
data/raw/CIFAKE/test/REAL/0882 (2).jpg,data/robustness/jpeg_70/00015.jpg,0,jpeg_70,70
data/raw/CIFAKE/test/REAL/0882 (2).jpg,data/robustness/jpeg_30/00015.jpg,0,jpeg_30,30
data/raw/CIFAKE/test/REAL/0882 (2).jpg,data/robustness/blur_1.0/00015.jpg,0,blur_1.0,1.0
data/raw/CIFAKE/test/REAL/0882 (2).jpg,data/robustness/resize_0.5/00015.jpg,0,resize_0.5,0.5
